filename,page_number,extract_method,sector,row_text,n_numbers,amount_1,amount_2,amount_3,amount_4,amount_5,amount_6,amount_7,amount_8,amount_9,amount_10
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,வர(cid:182) ெசல(cid:182)த் திட்டம் - கண்ேணாட்டம்,2,182.0,182.0,,,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,வரிைச கணக்கு தைலப்(cid:174) கணக்குகள் வர(cid:182) ெசல(cid:182) தி(cid:177)த்திய திட்ட வர(cid:182) ெசல(cid:182),6,174.0,182.0,182.0,177.0,182.0,182.0,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,எண் Account Head திட்ட மதிப்(cid:152)(cid:169) மதிப்(cid:152)(cid:169) திட்ட மதிப்(cid:152)(cid:169),6,152.0,169.0,152.0,169.0,152.0,169.0,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,2022-2023 2023-2024 2023-2024 2024-2025,8,2022.0,-2023.0,2023.0,-2024.0,2023.0,-2024.0,2024.0,-2025.0,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,((cid:196)பாய் ேகாடியில்),1,196.0,,,,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,(cid:175)ன் இ(cid:177)ப்(cid:174),3,175.0,177.0,174.0,,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,OPENING BALANCE 236.45 -104.82 756.07 -455.63,4,236.45,-104.82,756.07,-455.63,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,வ(cid:177)வாய் கணக்கு,1,177.0,,,,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,வர(cid:182)கள்,1,182.0,,,,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,Receipts 3779.02 4131.70 4508.30 4464.60,4,3779.02,4131.7,4508.3,4464.6,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,1,1,1.0,,,,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,ெசல(cid:182)கள்,1,182.0,,,,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,Expenditure 3790.08 4466.29 4617.27 4727.12,4,3790.08,4466.29,4617.27,4727.12,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,DEFICIT -11.06 -334.59 -108.97 -262.52,4,-11.06,-334.59,-108.97,-262.52,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,(cid:194)லதனக் கணக்கு,1,194.0,,,,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,வர(cid:182)கள்,1,182.0,,,,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,Receipts 3151.26 3554.50 3266.53 3455.00,4,3151.26,3554.5,3266.53,3455.0,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,2,1,2.0,,,,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,ெசல(cid:182)கள்,1,182.0,,,,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,Expenditure 2829.57 3560.16 3925.33 3140.58,4,2829.57,3560.16,3925.33,3140.58,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,SURPLUS / DEFICIT 321.69 -5.66 -658.80 314.42,4,321.69,-5.66,-658.8,314.42,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,நிகர மிைக / பற்றாக்குைற (வ(cid:177)வாய் மற்(cid:178)ம் (cid:194)லதனம்),3,177.0,178.0,194.0,,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,revenue_admin,NET SURPLUS / DEFICIT (REVENUE AND CAPITAL) 547.08 -445.07 -11.70 -403.73,4,547.08,-445.07,-11.7,-403.73,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,வ(cid:177)வாய் (cid:175)ன்பணம்,2,177.0,175.0,,,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,Recoveries 274.65 224.37 212.36 253.37,4,274.65,224.37,212.36,253.37,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,3,1,3.0,,,,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,Out-Goings 199.10 178.14 202.24 217.24,4,199.1,178.14,202.24,217.24,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,1,camelot,other,SURPLUS 75.55 46.23 10.12 36.13,4,75.55,46.23,10.12,36.13,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,2,camelot,other,வர(cid:182) ெசல(cid:182)த் திட்டம் - கண்ேணாட்டம்,2,182.0,182.0,,,,,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,2,camelot,other,வரிைச கணக்கு தைலப்(cid:174) கணக்குகள் வர(cid:182) ெசல(cid:182) தி(cid:177)த்திய திட்ட வர(cid:182) ெசல(cid:182),6,174.0,182.0,182.0,177.0,182.0,182.0,,,,
Chennai Budget 2024-25 Budget at a Glance.pdf,2,camelot,other,எண் Account Head திட்ட மதிப்(cid:152)(cid:169) மதிப்(cid:152)(cid:169) திட்ட மதிப்(cid:152)(cid:169),6,152.0,169.0,152.0,169.0,152.0,169.0,,,,
