filename,page_number,extract_method,sector,row_text,n_numbers,amount_1,amount_2,amount_3,amount_4,amount_5,amount_6,amount_7,amount_8,amount_9,amount_10
Chennai Budget 2023-24.pdf,1,tesseract,other,Quy Hlemevts Lito wi6d,1,6.0,,,,,,,,,
Chennai Budget 2023-24.pdf,1,tesseract,other,2023-2024,2,2023.0,-2024.0,,,,,,,,
Chennai Budget 2023-24.pdf,1,tesseract,other,2023-2024,2,2023.0,-2024.0,,,,,,,,
Chennai Budget 2023-24.pdf,2,tesseract,other,EUTOUTUL! 11s),1,11.0,,,,,,,,,
Chennai Budget 2023-24.pdf,2,tesseract,other,2023-2024,2,2023.0,-2024.0,,,,,,,,
Chennai Budget 2023-24.pdf,2,tesseract,other,2023-2024,2,2023.0,-2024.0,,,,,,,,
Chennai Budget 2023-24.pdf,3,tesseract,revenue_admin,2 MUNICIPAL FUND BALANCE SHEET AS ON 31st MARCH — 2024 4A,4,2.0,31.0,2024.0,4.0,,,,,,
Chennai Budget 2023-24.pdf,3,tesseract,infrastructure,3 | CAPITAL FUND BALANCE SHEET A.S ON 31st MARCH -2024 5G,4,3.0,31.0,-2024.0,5.0,,,,,,
Chennai Budget 2023-24.pdf,3,tesseract,education,4 | INCOME AND EXPENDITURE ACCOUNT FOR ELEMENTARY G+,1,4.0,,,,,,,,,
Chennai Budget 2023-24.pdf,3,tesseract,education,5 | ELEMENTARY EDUCATION FUND BALANCE SHEET AS ON 31st 103,3,5.0,31.0,103.0,,,,,,,
Chennai Budget 2023-24.pdf,3,tesseract,other,MARCH - 2024,1,2024.0,,,,,,,,,
Chennai Budget 2023-24.pdf,3,tesseract,revenue_admin,"6 EARMARKED FUND BALANCE SHEET AS ON 31°"" MARCH - 2024 | 14)",4,6.0,31.0,2024.0,14.0,,,,,,
Chennai Budget 2023-24.pdf,3,tesseract,revenue_admin,"NOTES OF ACCOUNTS AS ON 318"" MARCH -2024",2,318.0,-2024.0,,,,,,,,
Chennai Budget 2023-24.pdf,3,tesseract,revenue_admin,7 DETAILS OF DEPARTMENT WISE SUB-SCHEDULES FOR 135,2,7.0,135.0,,,,,,,,
Chennai Budget 2023-24.pdf,4,tesseract,revenue_admin,INCOME AND EXPENDITURE ACCOUNT FOR THE YEAR ENDING 31.03.2024,2,31.03,2024.0,,,,,,,,
Chennai Budget 2023-24.pdf,4,tesseract,other,: ee 31-03-2024 31-Mar-2023,5,31.0,-3.0,-2024.0,31.0,-2023.0,,,,,
Chennai Budget 2023-24.pdf,4,tesseract,revenue_admin,"110 TAX REVENUE(DEMAND) 1-01 16,32,08,14,516} 23,11,73,71,019",5,110.0,1.0,-1.0,16320814516.0,23117371019.0,,,,,
Chennai Budget 2023-24.pdf,4,tesseract,revenue_admin,"120 eeprom 1-02 13,13,54,72,342| _8,58,69,87,888",5,120.0,1.0,-2.0,13135472342.0,8586987888.0,,,,,
Chennai Budget 2023-24.pdf,4,tesseract,revenue_admin,"280. SeNeee Rede enue a 1-03 23,90,84,051 85,69,93,208",5,280.0,1.0,-3.0,239084051.0,856993208.0,,,,,
Chennai Budget 2023-24.pdf,4,tesseract,revenue_admin,"140 |FEES AND USER CHARGES 1-04 1,88,15,70,710] 1,74,67,05,214",5,140.0,1.0,-4.0,1881570710.0,1746705214.0,,,,,
