gov_level,dataset,pdf_source,fiscal_year,estimate_type,component,amount_crore,sector,demand_no,ministry,department,category,description
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,966.59,education,80.0,Department of Higher Education,,,Signalling and Telecom
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,966.59,education,80.0,Department of Higher Education,,,Signalling and Telecom
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,932.38,other,84.0,Department of Science and Technology,,,Science and Technology Institutional and Human Capacity Building
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,932.38,other,84.0,Department of Science and Technology,,,Science and Technology Institutional and Human Capacity Building
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,900.0,other,31.0,Department of Financial Services,,,Equity Capital to Micro Units Development Refinance Agency (MUDRA Bank)
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,900.0,other,31.0,Department of Financial Services,,,Equity Capital to Micro Units Development Refinance Agency (MUDRA Bank)
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,835.0,other,23.0,Department of Food and Public Distribution,,,Central Pool of Resources for North East and Sikkim
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,831.69,other,56.0,Department of Public Enterprises,,,Non-residential
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,812.26,other,29.0,Department of Economic Affairs,,,Viability Gap Funding
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,811.05,education,2.0,Department of Agricultural Research and Education,,,Animal Science
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,811.05,education,2.0,Department of Agricultural Research and Education,,,Animal Science
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,805.91,other,91.0,Department of Space,,,Space Applications
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,803.2,other,56.0,Department of Public Enterprises,,,327.
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,799.6,other,21.0,Department of Food and Public Distribution,,,Joint Staff - Navy
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,799.6,other,21.0,Department of Food and Public Distribution,,,Joint Staff - Navy
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,795.16,education,80.0,Department of Higher Education,,,Traffic Facilities - Yard Remodeling and Others
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,795.16,education,80.0,Department of Higher Education,,,Traffic Facilities - Yard Remodeling and Others
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,capital,779.42,healthcare,42.0,Department of Health and Family Welfare,,,Pardhan Mantri Swasthya Suraksha Yojana
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,766.81,education,74.0,Department of Higher Education,,,Strengthening of Power Systems
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,revenue,753.86,education,2.0,Department of Agricultural Research and Education,,,Agricultural Extension
union,central_sector_schemes,central_sector_schemes.pdf,2016-17,actuals,total,753.86,education,2.0,Department of Agricultural Research and Education,,,Agricultural Extension
