filename,page_number,extract_method,sector,row_text,n_numbers,amount_1,amount_2,amount_3,amount_4,amount_5,amount_6,amount_7,amount_8,amount_9,amount_10
Chennai Budget 2020-21 Balance Sheet.pdf,1,camelot,other,310 Fund Balance B-01 -22947901640.27 0.00 14366007963.77 0.00 -8581893676.50 -7010119429.36,8,310.0,-1.0,-22947901640.27,0.0,14366007963.77,0.0,-8581893676.5,-7010119429.36,,
Chennai Budget 2020-21 Balance Sheet.pdf,1,camelot,other,311 EARMARKED FUNDS B-02 42537537959.03 -22932505644.02 -13481882840.20 10515496257.95 16638645732.76 15207656182.71,8,311.0,-2.0,42537537959.03,-22932505644.02,-13481882840.2,10515496257.95,16638645732.76,15207656182.71,,
Chennai Budget 2020-21 Balance Sheet.pdf,1,camelot,other,312 RESERVE B-03 46553377022.00 330148948.00 46883525970.00 41953828509.00,6,312.0,-3.0,46553377022.0,330148948.0,46883525970.0,41953828509.0,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,1,camelot,other,Total 19589636318.76 23620871377.98 1214274071.57 10515496257.95 54940278026.26 50151365262.35,6,19589636318.76,23620871377.98,1214274071.57,10515496257.95,54940278026.26,50151365262.35,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,1,camelot,other,320 PURPOSES B-04 13431874.00 22933603249.50 0.00 15730076.00 22962765199.50 12759645574.00,8,320.0,-4.0,13431874.0,22933603249.5,0.0,15730076.0,22962765199.5,12759645574.0,,
Chennai Budget 2020-21 Balance Sheet.pdf,1,camelot,other,Total 13431874.00 22933603249.50 0.00 15730076.00 22962765199.50 12759645574.00,6,13431874.0,22933603249.5,0.0,15730076.0,22962765199.5,12759645574.0,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,1,camelot,other,330 SECURED LOANS B-05 4821145278.07 22632079539.00 27453224817.07 26406531081.14,6,330.0,-5.0,4821145278.07,22632079539.0,27453224817.07,26406531081.14,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,1,camelot,other,331 UNSECURED LOANS B-06 0.00 0.00 0.00,5,331.0,-6.0,0.0,0.0,0.0,,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,1,camelot,other,Total 4821145278.07 22632079539.00 27453224817.07 26406531081.14,4,4821145278.07,22632079539.0,27453224817.07,26406531081.14,,,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,1,camelot,other,340 DEPOSITS RECEIVED B-07 1853680413.93 2527288415.51 0.00 0.00 4380968829.44 4055902675.44,8,340.0,-7.0,1853680413.93,2527288415.51,0.0,0.0,4380968829.44,4055902675.44,,
Chennai Budget 2020-21 Balance Sheet.pdf,1,camelot,other,341 DEPOSIT WORKS B-08 361755600.00 10570820826.13 0.00 10932576426.13 9987701619.13,7,341.0,-8.0,361755600.0,10570820826.13,0.0,10932576426.13,9987701619.13,,,
Chennai Budget 2020-21 Balance Sheet.pdf,1,camelot,other,350 OTHER LIABILITIES B-09 4998936955.66 265394514.78 5405409.00 236734487.00 5506471366.44 6902624204.03,8,350.0,-9.0,4998936955.66,265394514.78,5405409.0,236734487.0,5506471366.44,6902624204.03,,
Chennai Budget 2020-21 Balance Sheet.pdf,1,camelot,other,360 PROVISIONS B-10 0.00 0.00 0.00 0.00,6,360.0,-10.0,0.0,0.0,0.0,0.0,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,1,camelot,other,Total 7214372969.59 13363503756.42 5405409.00 236734487.00 20820016622.01 20946228498.60,6,7214372969.59,13363503756.42,5405409.0,236734487.0,20820016622.01,20946228498.6,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,1,camelot,other,Total LIABILITIES 126176284664.84 110263770416.09,2,126176284664.84,110263770416.09,,,,,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,2,camelot,other,411 ACCUMULATED DEPRECIATION B-12 0.00 -93461446469.46 -707714850.00 -94169161319.46 -84626165985.46,7,411.0,-12.0,0.0,-93461446469.46,-707714850.0,-94169161319.46,-84626165985.46,,,
Chennai Budget 2020-21 Balance Sheet.pdf,2,camelot,other,412 CAPITAL WORK IN PROGRESS B-13 0.00 19548513034.26 0.00 86681226.40 19635194260.66 13027832303.42,8,412.0,-13.0,0.0,19548513034.26,0.0,86681226.4,19635194260.66,13027832303.42,,
Chennai Budget 2020-21 Balance Sheet.pdf,2,camelot,other,Total 0.00 71953790582.52 1211426671.26 86681226.40 73251898480.18 70697488955.94,6,0.0,71953790582.52,1211426671.26,86681226.4,73251898480.18,70697488955.94,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,2,camelot,other,420 INVESTMENT GENERAL FUND B-14 0.00 1039947031.00 0.00 1039947031.00 1117513648.00,7,420.0,-14.0,0.0,1039947031.0,0.0,1039947031.0,1117513648.0,,,
Chennai Budget 2020-21 Balance Sheet.pdf,2,camelot,other,421 INVESTMENT (cid:11) OTHER FUNDS B-15 7547880700.00 7547880700.00 6874130693.00,6,421.0,11.0,-15.0,7547880700.0,7547880700.0,6874130693.0,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,2,camelot,other,Total 0.00 1039947031.00 7547880700.00 8587827731.00 7991644341.00,5,0.0,1039947031.0,7547880700.0,8587827731.0,7991644341.0,,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,2,camelot,other,430 STOCK IN HAND B-16 8557530.62 24527609.60 33085140.22 28860723.27,6,430.0,-16.0,8557530.62,24527609.6,33085140.22,28860723.27,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,2,camelot,other,431 SUNDRY DEBTORS (RECEIVABLES) B-17 26602334012.94 0.00 0.00 26602334012.94 21474130864.58,7,431.0,-17.0,26602334012.94,0.0,0.0,26602334012.94,21474130864.58,,,
Chennai Budget 2020-21 Balance Sheet.pdf,2,camelot,other,432 DEBTORS B-18 0.00 0.00 0.00,5,432.0,-18.0,0.0,0.0,0.0,,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,2,camelot,other,440 PREPAID EXPENSES B-19 0.00 0.00 0.00,5,440.0,-19.0,0.0,0.0,0.0,,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,2,camelot,other,450 CASH AND BANK BALANCES B-20 1193191402.80 7924617165.78 4975031.31 3133398894.55 12256182494.44 6992115159.83,8,450.0,-20.0,1193191402.8,7924617165.78,4975031.31,3133398894.55,12256182494.44,6992115159.83,,
Chennai Budget 2020-21 Balance Sheet.pdf,2,camelot,other,"460 LOANS, ADVANCES AND DEPOSITS B-21 3834720712.89 1591295471.00 3277778.00 0.00 5429293961.89 3063650308.43",8,460.0,-21.0,3834720712.89,1591295471.0,3277778.0,0.0,5429293961.89,3063650308.43,,
Chennai Budget 2020-21 Balance Sheet.pdf,2,camelot,other,461 ADVANCES AND DEPOSITS B-22 0.00 0.00 0.00,5,461.0,-22.0,0.0,0.0,0.0,,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,2,camelot,other,Total 31638803659.25 9540440246.38 8252809.31 3133398894.55 44320895609.49 31558757056.11,6,31638803659.25,9540440246.38,8252809.31,3133398894.55,44320895609.49,31558757056.11,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,2,camelot,other,470 OTHER ASSETS B-23 0.00 15880063.00 0.00 0.00 15880063.00 15880063.00,8,470.0,-23.0,0.0,15880063.0,0.0,0.0,15880063.0,15880063.0,,
Chennai Budget 2020-21 Balance Sheet.pdf,2,camelot,other,480 WRITTEN OFF B-24 0.00 0.00 0.00,5,480.0,-24.0,0.0,0.0,0.0,,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,2,camelot,other,Total 0.00 15880063.00 0.00 0.00 15880063.00 15880063.00,6,0.0,15880063.0,0.0,0.0,15880063.0,15880063.0,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,2,camelot,other,Total ASSETS 126176501883.67 110263770416.05,2,126176501883.67,110263770416.05,,,,,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,3,camelot,revenue_admin,110 TAX REVENUE I-01 11804145126.56 12262733206.09 1064217918.00 2175751416.00,6,110.0,-1.0,11804145126.56,12262733206.09,1064217918.0,2175751416.0,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,3,camelot,other,120 COMPENSATIONS I-02 6525841613.00 6448114233.00,4,120.0,-2.0,6525841613.0,6448114233.0,,,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,3,camelot,other,130 PROPERTIES I-03 764480405.82 1203990871.48,4,130.0,-3.0,764480405.82,1203990871.48,,,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,3,camelot,revenue_admin,140 FEES AND USER CHARGES I-04 1160125796.15 1199358527.96 7995.00 8581.00,6,140.0,-4.0,1160125796.15,1199358527.96,7995.0,8581.0,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,3,camelot,other,150 SALE AND HIRE CHARGES I-05 480834416.00 293240964.00 1833.00 2803.00,6,150.0,-5.0,480834416.0,293240964.0,1833.0,2803.0,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,3,camelot,other,160 I-06 9712189390.00 2073491878.00,4,160.0,-6.0,9712189390.0,2073491878.0,,,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,3,camelot,other,170 Income from Investment I-07 15259205.00 36638372.00,4,170.0,-7.0,15259205.0,36638372.0,,,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,3,camelot,other,171 INTEREST EARNED I-08 111330294.00 112469838.00,4,171.0,-8.0,111330294.0,112469838.0,,,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,3,camelot,other,180 OTHER INCOME I-09 1003514937.56 1076936758.51 741628.00 1068938.00,6,180.0,-9.0,1003514937.56,1076936758.51,741628.0,1068938.0,,,,
Chennai Budget 2020-21 Balance Sheet.pdf,3,camelot,other,A Total INCOME 31577721184.09 24706974649.04 1064969374.00 2176831738.00,4,31577721184.09,24706974649.04,1064969374.0,2176831738.0,,,,,,
