filename,page_number,extract_method,sector,row_text,n_numbers,amount_1,amount_2,amount_3,amount_4,amount_5,amount_6,amount_7,amount_8,amount_9,amount_10
GCC Budget 2025-26 Department-wise Expenditure.pdf,1,camelot,other,(cid:171)ைறவாரியான ெசலவின சு(cid:177)க்கம்,2,171.0,177.0,,,,,,,,
GCC Budget 2025-26 Department-wise Expenditure.pdf,1,camelot,other,210-பணியாளர் ெசலவினம்,1,210.0,,,,,,,,,
GCC Budget 2025-26 Department-wise Expenditure.pdf,1,camelot,other,210-ESTABLISHMENT EXPENSES BUDGET FORM NO F2 173777 215285 203016 219716,6,210.0,2.0,173777.0,215285.0,203016.0,219716.0,,,,
GCC Budget 2025-26 Department-wise Expenditure.pdf,1,camelot,other,220-அ(cid:179)வலக ெசல(cid:182)கள்,3,220.0,179.0,182.0,,,,,,,
GCC Budget 2025-26 Department-wise Expenditure.pdf,1,camelot,other,220-ADMINISTRATIVE EXPENSES FORM NO F3 16764 20977 38427 41448,6,220.0,3.0,16764.0,20977.0,38427.0,41448.0,,,,
GCC Budget 2025-26 Department-wise Expenditure.pdf,1,camelot,other,230-இயக்குதல் மற்(cid:178)ம் பராமரிப்(cid:174) ெசலவினங்கள்,3,230.0,178.0,174.0,,,,,,,
GCC Budget 2025-26 Department-wise Expenditure.pdf,1,camelot,other,230-OPERATION AND MAINTENANCE EXPENSES FORM NO F4 1003 2601 1811 1511,6,230.0,4.0,1003.0,2601.0,1811.0,1511.0,,,,
GCC Budget 2025-26 Department-wise Expenditure.pdf,1,camelot,other,240-வட்டி மற்(cid:178)ம் இதர நிதி ெசலவினங்கள்,2,240.0,178.0,,,,,,,,
GCC Budget 2025-26 Department-wise Expenditure.pdf,1,camelot,other,240-INTEREST AND FINANCE CHARGES FORM NO F5 840871 945500 823300 676500,6,240.0,5.0,840871.0,945500.0,823300.0,676500.0,,,,
GCC Budget 2025-26 Department-wise Expenditure.pdf,1,camelot,other,272-ேதய்மானம்,1,272.0,,,,,,,,,
GCC Budget 2025-26 Department-wise Expenditure.pdf,1,camelot,other,272-DEPRECIATION FORM NO F10 330 600 500 500,6,272.0,10.0,330.0,600.0,500.0,500.0,,,,
GCC Budget 2025-26 Department-wise Expenditure.pdf,1,camelot,other,TOTAL 1032745 1184963 1067054 939675,4,1032745.0,1184963.0,1067054.0,939675.0,,,,,,
GCC Budget 2025-26 Department-wise Expenditure.pdf,2,camelot,other,210-பணியாளர் ெசலவினம்,1,210.0,,,,,,,,,
GCC Budget 2025-26 Department-wise Expenditure.pdf,2,camelot,other,FORM NO F2 210-ESTABLISHMENT EXPENSES BUDGET,2,2.0,210.0,,,,,,,,
GCC Budget 2025-26 Department-wise Expenditure.pdf,2,camelot,other,சம்பளம் - அ(cid:179)வலர்,1,179.0,,,,,,,,,
GCC Budget 2025-26 Department-wise Expenditure.pdf,2,camelot,other,A 00-03-00 210-10-01-01 Salaries and Allowances-Officer 50726 62000 58000 62000,11,0.0,-3.0,-0.0,210.0,-10.0,-1.0,-1.0,50726.0,62000.0,58000.0
GCC Budget 2025-26 Department-wise Expenditure.pdf,2,camelot,other,A 00-03-00 210-10-01-02 Salaries and Allowances-Staff 104485 125000 117500 130000,11,0.0,-3.0,-0.0,210.0,-10.0,-1.0,-2.0,104485.0,125000.0,117500.0
GCC Budget 2025-26 Department-wise Expenditure.pdf,2,camelot,other,சம்பளம் - ஓட்(cid:169)நர்,1,169.0,,,,,,,,,
GCC Budget 2025-26 Department-wise Expenditure.pdf,2,camelot,other,A 00-03-00 210-10-02-01 Salaries and Allowances - Driver 1740 2200 2100 2300,11,0.0,-3.0,-0.0,210.0,-10.0,-2.0,-1.0,1740.0,2200.0,2100.0
GCC Budget 2025-26 Department-wise Expenditure.pdf,2,camelot,other,ஈட்டிய வி(cid:169)ப்(cid:174) சம்பளம்,2,169.0,174.0,,,,,,,,
GCC Budget 2025-26 Department-wise Expenditure.pdf,2,camelot,other,A 00-03-00 210-10-03-01 Leave Salary Surrender 0 660 0 0,11,0.0,-3.0,-0.0,210.0,-10.0,-3.0,-1.0,0.0,660.0,0.0
GCC Budget 2025-26 Department-wise Expenditure.pdf,2,camelot,other,க(cid:177)ைணத்ெதாைக,1,177.0,,,,,,,,,
GCC Budget 2025-26 Department-wise Expenditure.pdf,2,camelot,other,A 00-03-00 210-10-04-02 Ex-Gratia 0 1 1 1,11,0.0,-3.0,-0.0,210.0,-10.0,-4.0,-2.0,0.0,1.0,1.0
