filename,page_number,extract_method,sector,row_text,n_numbers,amount_1,amount_2,amount_3,amount_4,amount_5,amount_6,amount_7,amount_8,amount_9,amount_10
Chennai Budget 2021-22.pdf,1,tesseract,other,[¢ 12 oct az) |,1,12.0,,,,,,,,,
Chennai Budget 2021-22.pdf,1,tesseract,other,2021-2022,2,2021.0,-2022.0,,,,,,,,
Chennai Budget 2021-22.pdf,1,tesseract,other,2021-2022,2,2021.0,-2022.0,,,,,,,,
Chennai Budget 2021-22.pdf,2,tesseract,other,MUNICIPAL FUND BALANCE SHEET AS ON 31st MARCH — 2021,2,31.0,2021.0,,,,,,,,
Chennai Budget 2021-22.pdf,2,tesseract,other,33,1,33.0,,,,,,,,,
Chennai Budget 2021-22.pdf,2,tesseract,other,CAPITAL FUND BALANCE SHEET AS ON 31st MARCH -2021,2,31.0,-2021.0,,,,,,,,
Chennai Budget 2021-22.pdf,2,tesseract,other,49,1,49.0,,,,,,,,,
Chennai Budget 2021-22.pdf,2,tesseract,other,85,1,85.0,,,,,,,,,
Chennai Budget 2021-22.pdf,2,tesseract,education,ELEMENTARY EDUCATION FUND BALANCE SHEET AS ON 31st,1,31.0,,,,,,,,,
Chennai Budget 2021-22.pdf,2,tesseract,other,MARCH - 2021,1,2021.0,,,,,,,,,
Chennai Budget 2021-22.pdf,2,tesseract,other,91,1,91.0,,,,,,,,,
Chennai Budget 2021-22.pdf,2,tesseract,other,"EARMARKED FUND BALANCE SHEET AS ON 315"" MARCH - 2021",2,315.0,2021.0,,,,,,,,
Chennai Budget 2021-22.pdf,2,tesseract,other,97,1,97.0,,,,,,,,,
Chennai Budget 2021-22.pdf,2,tesseract,other,113,1,113.0,,,,,,,,,
Chennai Budget 2021-22.pdf,3,tesseract,other,Ooo 6eOo CoO,1,6.0,,,,,,,,,
Chennai Budget 2021-22.pdf,3,tesseract,other,2021-2022,2,2021.0,-2022.0,,,,,,,,
Chennai Budget 2021-22.pdf,3,tesseract,other,2021-2022,2,2021.0,-2022.0,,,,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,other,INCOME AND EXPENDITURE ACCOUNT FOR THE YEAR ENDING 31.03.2022,2,31.03,2022.0,,,,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,revenue_admin,"110 |7aX REVENUE(DEMAND) 101 13,14,49,36,963| _11,80,43,94,761",5,110.0,7.0,101.0,13144936963.0,11804394761.0,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,other,"120 |e eeNoatowe ANP 02 7,11,94,64,408} * 6,52,58,41,613",4,120.0,2.0,7119464408.0,6525841613.0,,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,other,"130 aorecnne FROM MUNICIPAL 1-08 96,73,01,168 76,44,80,406",5,130.0,1.0,-8.0,967301168.0,764480406.0,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,revenue_admin,"140 _|FEES AND USER CHARGES 1-04 1,67,51,67,973| __1,16,01,29,549",5,140.0,1.0,-4.0,1675167973.0,1160129549.0,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,other,"150 |SALE AND HIRE CHARGES £05 4,68,35,569| 48,08,36,229",4,150.0,5.0,46835569.0,480836229.0,,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,other,"160 UES Nt CONTRIBUTION AND | 1.06 6,57,82,40,042| —_10,04,53,09,161",4,160.0,1.06,6578240042.0,10045309161.0,,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,other,"170 | INCOME FROM INVESTMENT 1-07 17,37,09,244| 1,44,20,234",5,170.0,1.0,-7.0,173709244.0,14420234.0,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,other,"171 INTEREST EARNED 1-08 26,92,18,598 11,18,51,193",5,171.0,1.0,-8.0,269218598.0,111851193.0,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,other,"180 |OTHER INCOME 1-09 96,17,36,494| _1,00,56,99,351",5,180.0,1.0,-9.0,961736494.0,1005699351.0,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,other,"A TOTAL INCOME 30,93,66,10,460| 31,91,29,62,497",2,30936610460.0,31912962497.0,,,,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,other,"210 |BSTABLISHMENT EXPENSES 1-10 14,02,71,69,712| —_13,46,88,26,737",5,210.0,1.0,-10.0,14027169712.0,13468826737.0,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,other,"220 |ADMINISTRATIVE EXPENSES Fl 47,34,07,099 90, 18,74,631",4,220.0,473407099.0,90.0,1874631.0,,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,other,"220 eee eee AND MAINTENANCE r12 12,28,43,73,367| _11,24,62,36,568|",4,220.0,12.0,12284373367.0,11246236568.0,,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,other,"240 |INTEREST AND FINANCE CHARGES 13 1,51,98,81,594] —_1,52,42,82,789",4,240.0,13.0,1519881594.0,1524282789.0,,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,other,"250 _ |PROGRAMME EXPENSES 114 9,54,69,802 2,33,50,803",4,250.0,114.0,95469802.0,23350803.0,,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,other,"271 |MISCELLANEOUS EXPENSES E15 4,06,27,429 1,19,37,954",4,271.0,15.0,40627429.0,11937954.0,,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,other,"272 |DEPRECIATION 116 9,95,51,73,791] _9,49,83,27,588",4,272.0,116.0,9955173791.0,9498327588.0,,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,other,"280 |OTHER EXPENSES L17 30,783,347 0",4,280.0,17.0,30783347.0,0.0,,,,,,
Chennai Budget 2021-22.pdf,4,tesseract,other,"B TOTAL 38,39,91,76,141| 36,67,48,37,071",2,38399176141.0,36674837071.0,,,,,,,,
